"Title","URL","Author","Username","Date","Tweet ID","Tags"
"Naval — 1002103770518441989","https://x.com/naval/status/1002103770518441989","Naval","naval","2018-05-31T08:25:31.000Z","1002103770518441989",""
"Naval — 1002105148733206528","https://x.com/naval/status/1002105148733206528","Naval","naval","2018-05-31T08:31:00.000Z","1002105148733206528",""
"Naval — 1002105652792066048","https://x.com/naval/status/1002105652792066048","Naval","naval","2018-05-31T08:33:00.000Z","1002105652792066048",""
"Naval — 1002106893265920000","https://x.com/naval/status/1002106893265920000","Naval","naval","2018-05-31T08:37:56.000Z","1002106893265920000",""
"Pierre de Wulf — 1329765202095575041","https://x.com/PierreDeWulf/status/1329765202095575041","Pierre de Wulf","PierreDeWulf","2020-11-20T12:35:04.000Z","1329765202095575041",""
"ecommaster777 — 1563278151576584192","https://x.com/ecommaster777/status/1563278151576584192","ecommaster777","ecommaster777","2022-08-26T21:32:10.000Z","1563278151576584192",""
"Marc Lou — 1611708982841819137","https://x.com/marclou/status/1611708982841819137","Marc Lou","marclou","2023-01-07T12:59:00.000Z","1611708982841819137",""
"Steeve Morin — 1651844133235875841","https://x.com/steeve/status/1651844133235875841","Steeve Morin","steeve","2023-04-28T07:01:45.000Z","1651844133235875841",""
"BaseballHistoryNut — 1712988276531810788","https://x.com/nut_history/status/1712988276531810788","BaseballHistoryNut","nut_history","2023-10-14T00:26:45.000Z","1712988276531810788",""
"Linus ✦ Ekenstam — 1744431726443614539","https://x.com/LinusEkenstam/status/1744431726443614539","Linus ✦ Ekenstam","LinusEkenstam","2024-01-08T18:51:48.000Z","1744431726443614539",""
"rabbit inc. — 1744781083831574824","https://x.com/rabbit_hmi/status/1744781083831574824","rabbit inc.","rabbit_hmi","2024-01-09T18:00:01.000Z","1744781083831574824",""
"GREG ISENBERG — 1845255860559257671","https://x.com/gregisenberg/status/1845255860559257671","GREG ISENBERG","gregisenberg","2024-10-13T00:10:55.000Z","1845255860559257671",""
"Art of Life — 1851398666411545062","https://x.com/Art0fLife_/status/1851398666411545062","Art of Life","Art0fLife_","2024-10-29T23:00:14.000Z","1851398666411545062",""
"Katy Faust — 1880741304331809006","https://x.com/Katy_Faust/status/1880741304331809006","Katy Faust","Katy_Faust","2025-01-18T22:17:24.000Z","1880741304331809006",""
"John Rush — 1882277087224185312","https://x.com/johnrushx/status/1882277087224185312","John Rush","johnrushx","2025-01-23T04:00:03.000Z","1882277087224185312",""
"DAN KOE — 1886095548295602447","https://x.com/thedankoe/status/1886095548295602447","DAN KOE","thedankoe","2025-02-02T16:53:15.000Z","1886095548295602447",""
"Stijn Noorman — 1886421137493520493","https://x.com/stijnnoorman/status/1886421137493520493","Stijn Noorman","stijnnoorman","2025-02-03T14:27:01.000Z","1886421137493520493",""
"NIK HUNO — 1887168079874170942","https://x.com/NikHuno/status/1887168079874170942","NIK HUNO","NikHuno","2025-02-05T15:55:06.000Z","1887168079874170942",""
"Maxoux — 1887249960305107450","https://x.com/Maxouks/status/1887249960305107450","Maxoux","Maxouks","2025-02-05T21:20:28.000Z","1887249960305107450",""
