"Date","Year","Month","Author","Username","URL","Tweet ID","Source","Tags","Notes"
"2018-05-31T08:25:31.000Z","2018","2018-05","Naval","naval","https://x.com/naval/status/1002103770518441989","1002103770518441989","x.com/bookmarks","",""
"2018-05-31T08:31:00.000Z","2018","2018-05","Naval","naval","https://x.com/naval/status/1002105148733206528","1002105148733206528","x.com/bookmarks","",""
"2018-05-31T08:33:00.000Z","2018","2018-05","Naval","naval","https://x.com/naval/status/1002105652792066048","1002105652792066048","x.com/bookmarks","",""
"2018-05-31T08:37:56.000Z","2018","2018-05","Naval","naval","https://x.com/naval/status/1002106893265920000","1002106893265920000","x.com/bookmarks","",""
"2020-11-20T12:35:04.000Z","2020","2020-11","Pierre de Wulf","PierreDeWulf","https://x.com/PierreDeWulf/status/1329765202095575041","1329765202095575041","x.com/bookmarks","",""
"2022-08-26T21:32:10.000Z","2022","2022-08","ecommaster777","ecommaster777","https://x.com/ecommaster777/status/1563278151576584192","1563278151576584192","x.com/bookmarks","",""
"2023-01-07T12:59:00.000Z","2023","2023-01","Marc Lou","marclou","https://x.com/marclou/status/1611708982841819137","1611708982841819137","x.com/bookmarks","",""
"2023-04-28T07:01:45.000Z","2023","2023-04","Steeve Morin","steeve","https://x.com/steeve/status/1651844133235875841","1651844133235875841","x.com/bookmarks","",""
"2023-10-14T00:26:45.000Z","2023","2023-10","BaseballHistoryNut","nut_history","https://x.com/nut_history/status/1712988276531810788","1712988276531810788","x.com/bookmarks","",""
"2024-01-08T18:51:48.000Z","2024","2024-01","Linus ✦ Ekenstam","LinusEkenstam","https://x.com/LinusEkenstam/status/1744431726443614539","1744431726443614539","x.com/bookmarks","",""
"2024-01-09T18:00:01.000Z","2024","2024-01","rabbit inc.","rabbit_hmi","https://x.com/rabbit_hmi/status/1744781083831574824","1744781083831574824","x.com/bookmarks","",""
"2024-10-13T00:10:55.000Z","2024","2024-10","GREG ISENBERG","gregisenberg","https://x.com/gregisenberg/status/1845255860559257671","1845255860559257671","x.com/bookmarks","",""
"2024-10-29T23:00:14.000Z","2024","2024-10","Art of Life","Art0fLife_","https://x.com/Art0fLife_/status/1851398666411545062","1851398666411545062","x.com/bookmarks","",""
