name,path,scope,category,ext,size,updated,owner
"auth-profiles.json","/Users/alexis/.openclaw/agents/main/agent/auth-profiles.json","runtime","runtime_agent","json",3387,"2026-03-02T15:44:13+00:00","system"
"models.json","/Users/alexis/.openclaw/agents/main/agent/models.json","runtime","runtime_agent","json",3532,"2026-03-02T15:01:50+00:00","system"
"06fd6061-527d-4c41-9d1d-a2874b2a879d.jsonl","/Users/alexis/.openclaw/agents/main/sessions/06fd6061-527d-4c41-9d1d-a2874b2a879d.jsonl","runtime","runtime_sessions","jsonl",234870,"2026-03-02T15:46:34+00:00","system"
"06fd6061-527d-4c41-9d1d-a2874b2a879d.jsonl.lock","/Users/alexis/.openclaw/agents/main/sessions/06fd6061-527d-4c41-9d1d-a2874b2a879d.jsonl.lock","runtime","runtime_sessions","lock",61,"2026-03-02T15:45:26+00:00","system"
"47d377da-c37a-4ad9-8a5d-4a17ef2411bf.jsonl","/Users/alexis/.openclaw/agents/main/sessions/47d377da-c37a-4ad9-8a5d-4a17ef2411bf.jsonl","runtime","runtime_sessions","jsonl",64731,"2026-03-02T15:39:42+00:00","system"
"sessions.json","/Users/alexis/.openclaw/agents/main/sessions/sessions.json","runtime","runtime_sessions","json",105880,"2026-03-02T15:45:26+00:00","system"
"2026-03-01.md","/Users/alexis/.openclaw/shared/discussions/2026-03-01.md","shared","shared_discussions","md",5698,"2026-03-02T15:01:34+00:00","system"
"board.md","/Users/alexis/.openclaw/shared/tasks/board.md","shared","shared_tasks","md",1599,"2026-03-02T15:01:34+00:00","system"
"README.md","/Users/alexis/.openclaw/workspace/.claude/agents/README.md","workspace","claude_agents","md",960,"2026-03-02T15:01:48+00:00","system"
"anna.md","/Users/alexis/.openclaw/workspace/.claude/agents/anna.md","workspace","claude_agents","md",1765,"2026-03-02T15:01:48+00:00","anna"
"bidi.md","/Users/alexis/.openclaw/workspace/.claude/agents/bidi.md","workspace","claude_agents","md",1701,"2026-03-02T15:01:48+00:00","bidi"
"franck.md","/Users/alexis/.openclaw/workspace/.claude/agents/franck.md","workspace","claude_agents","md",1662,"2026-03-02T15:01:48+00:00","franck"
"jimmy.md","/Users/alexis/.openclaw/workspace/.claude/agents/jimmy.md","workspace","claude_agents","md",1743,"2026-03-02T15:01:48+00:00","jimmy"
"john.md","/Users/alexis/.openclaw/workspace/.claude/agents/john.md","workspace","claude_agents","md",1739,"2026-03-02T15:01:48+00:00","john"
"AGENTS-proactive.md","/Users/alexis/.openclaw/workspace/AGENTS-proactive.md","workspace","core_config","md",3860,"2026-03-02T15:01:48+00:00","system"
"AGENTS.md","/Users/alexis/.openclaw/workspace/AGENTS.md","workspace","core_config","md",2725,"2026-03-02T15:01:48+00:00","system"
"HEARTBEAT-proactive.md","/Users/alexis/.openclaw/workspace/HEARTBEAT-proactive.md","workspace","core_config","md",2939,"2026-03-02T15:01:48+00:00","system"
"HEARTBEAT.md","/Users/alexis/.openclaw/workspace/HEARTBEAT.md","workspace","core_config","md",516,"2026-03-02T15:01:48+00:00","system"
"IDENTITY.md","/Users/alexis/.openclaw/workspace/IDENTITY.md","workspace","core_config","md",308,"2026-03-02T15:01:34+00:00","system"
"MEMORY.md","/Users/alexis/.openclaw/workspace/MEMORY.md","workspace","core_config","md",7992,"2026-03-02T15:01:48+00:00","system"
"MORNING_BRIEF.md","/Users/alexis/.openclaw/workspace/MORNING_BRIEF.md","workspace","core_config","md",2767,"2026-03-02T15:01:48+00:00","system"
"ONBOARDING.md","/Users/alexis/.openclaw/workspace/ONBOARDING.md","workspace","core_config","md",2423,"2026-03-02T15:01:48+00:00","system"
"SOUL.md","/Users/alexis/.openclaw/workspace/SOUL.md","workspace","core_config","md",2693,"2026-03-02T15:01:48+00:00","system"
"TOOLS.md","/Users/alexis/.openclaw/workspace/TOOLS.md","workspace","core_config","md",1058,"2026-03-02T15:01:48+00:00","system"
"USER.md","/Users/alexis/.openclaw/workspace/USER.md","workspace","core_config","md",2180,"2026-03-02T15:01:48+00:00","system"
"2025-05-15.md","/Users/alexis/.openclaw/workspace/memory/2025-05-15.md","workspace","memory","md",2068,"2026-03-02T15:01:34+00:00","system"
"2025-06-26.md","/Users/alexis/.openclaw/workspace/memory/2025-06-26.md","workspace","memory","md",1252,"2026-03-02T15:01:34+00:00","system"
"2026-01-30.md","/Users/alexis/.openclaw/workspace/memory/2026-01-30.md","workspace","memory","md",2879,"2026-03-02T15:01:34+00:00","system"
"2026-01-31.md","/Users/alexis/.openclaw/workspace/memory/2026-01-31.md","workspace","memory","md",6133,"2026-03-02T15:01:34+00:00","system"
"2026-02-01.md","/Users/alexis/.openclaw/workspace/memory/2026-02-01.md","workspace","memory","md",5691,"2026-03-02T15:01:34+00:00","system"
"2026-02-02-daily-prios.md","/Users/alexis/.openclaw/workspace/memory/2026-02-02-daily-prios.md","workspace","memory","md",1231,"2026-03-02T15:01:34+00:00","system"
"2026-02-02-greeting-chat.md","/Users/alexis/.openclaw/workspace/memory/2026-02-02-greeting-chat.md","workspace","memory","md",880,"2026-03-02T15:01:34+00:00","system"
"2026-02-02-memory-priorities.md","/Users/alexis/.openclaw/workspace/memory/2026-02-02-memory-priorities.md","workspace","memory","md",1292,"2026-03-02T15:01:34+00:00","system"
"2026-02-02-ok-test.md","/Users/alexis/.openclaw/workspace/memory/2026-02-02-ok-test.md","workspace","memory","md",1112,"2026-03-02T15:01:34+00:00","system"
"2026-02-02-personal-info.md","/Users/alexis/.openclaw/workspace/memory/2026-02-02-personal-info.md","workspace","memory","md",2803,"2026-03-02T15:01:34+00:00","system"
"2026-02-02-security-status.md","/Users/alexis/.openclaw/workspace/memory/2026-02-02-security-status.md","workspace","memory","md",1780,"2026-03-02T15:01:34+00:00","system"
"2026-02-02.md","/Users/alexis/.openclaw/workspace/memory/2026-02-02.md","workspace","memory","md",4187,"2026-03-02T15:01:34+00:00","system"
"2026-02-03.md","/Users/alexis/.openclaw/workspace/memory/2026-02-03.md","workspace","memory","md",3197,"2026-03-02T15:01:34+00:00","system"
"2026-02-04.md","/Users/alexis/.openclaw/workspace/memory/2026-02-04.md","workspace","memory","md",2692,"2026-03-02T15:01:34+00:00","system"
"2026-02-05.md","/Users/alexis/.openclaw/workspace/memory/2026-02-05.md","workspace","memory","md",2453,"2026-03-02T15:01:34+00:00","system"
"2026-02-16-1439.md","/Users/alexis/.openclaw/workspace/memory/2026-02-16-1439.md","workspace","memory","md",149,"2026-03-02T15:01:34+00:00","system"
"2026-02-16-openai-key-check.md","/Users/alexis/.openclaw/workspace/memory/2026-02-16-openai-key-check.md","workspace","memory","md",2021,"2026-03-02T15:01:34+00:00","system"
"2026-02-16-security-audit.md","/Users/alexis/.openclaw/workspace/memory/2026-02-16-security-audit.md","workspace","memory","md",4111,"2026-03-02T15:01:34+00:00","system"
"2026-02-16.md","/Users/alexis/.openclaw/workspace/memory/2026-02-16.md","workspace","memory","md",3276,"2026-03-02T15:01:34+00:00","system"
"2026-02-17.md","/Users/alexis/.openclaw/workspace/memory/2026-02-17.md","workspace","memory","md",3029,"2026-03-02T15:01:34+00:00","system"
"2026-02-18.md","/Users/alexis/.openclaw/workspace/memory/2026-02-18.md","workspace","memory","md",1465,"2026-03-02T15:01:34+00:00","system"
"2026-02-19.md","/Users/alexis/.openclaw/workspace/memory/2026-02-19.md","workspace","memory","md",1726,"2026-03-02T15:01:34+00:00","system"
"2026-02-20.md","/Users/alexis/.openclaw/workspace/memory/2026-02-20.md","workspace","memory","md",1896,"2026-03-02T15:01:34+00:00","system"
"2026-02-26.md","/Users/alexis/.openclaw/workspace/memory/2026-02-26.md","workspace","memory","md",3089,"2026-03-02T15:01:34+00:00","system"
"2026-02-27.md","/Users/alexis/.openclaw/workspace/memory/2026-02-27.md","workspace","memory","md",1306,"2026-03-02T15:01:34+00:00","system"
"2026-02-28-2029.md","/Users/alexis/.openclaw/workspace/memory/2026-02-28-2029.md","workspace","memory","md",3858,"2026-03-02T15:01:34+00:00","system"
"2026-02-28-2051.md","/Users/alexis/.openclaw/workspace/memory/2026-02-28-2051.md","workspace","memory","md",4388,"2026-03-02T15:01:34+00:00","system"
"2026-02-28-api-rate-limits.md","/Users/alexis/.openclaw/workspace/memory/2026-02-28-api-rate-limits.md","workspace","memory","md",5012,"2026-03-02T15:01:34+00:00","system"
"2026-02-28-new-session-startup.md","/Users/alexis/.openclaw/workspace/memory/2026-02-28-new-session-startup.md","workspace","memory","md",1473,"2026-03-02T15:01:34+00:00","system"
"2026-02-28-system-check.md","/Users/alexis/.openclaw/workspace/memory/2026-02-28-system-check.md","workspace","memory","md",436,"2026-03-02T15:01:34+00:00","system"
"2026-02-28.md","/Users/alexis/.openclaw/workspace/memory/2026-02-28.md","workspace","memory","md",1276,"2026-03-02T15:01:34+00:00","system"
"2026-03-01-forge-ia-pitch.md","/Users/alexis/.openclaw/workspace/memory/2026-03-01-forge-ia-pitch.md","workspace","memory","md",6670,"2026-03-02T15:01:34+00:00","system"
"2026-03-01-tesla-model-y.md","/Users/alexis/.openclaw/workspace/memory/2026-03-01-tesla-model-y.md","workspace","memory","md",12046,"2026-03-02T15:01:34+00:00","system"
"2026-03-01-x-feed-digest.md","/Users/alexis/.openclaw/workspace/memory/2026-03-01-x-feed-digest.md","workspace","memory","md",18450,"2026-03-02T15:01:34+00:00","system"
"2026-03-02-acpx-activation.md","/Users/alexis/.openclaw/workspace/memory/2026-03-02-acpx-activation.md","workspace","memory","md",5424,"2026-03-02T15:01:34+00:00","system"
"WORKING.md","/Users/alexis/.openclaw/workspace/memory/WORKING.md","workspace","memory","md",749,"2026-03-02T15:01:34+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/agent-browser/SKILL.md","workspace","skills","md",10224,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/auto-updater/SKILL.md","workspace","skills","md",3300,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/chirp/SKILL.md","workspace","skills","md",4335,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/find-skills/SKILL.md","workspace","skills","md",4635,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/frontend-design/SKILL.md","workspace","skills","md",4275,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/github/SKILL.md","workspace","skills","md",1113,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/gog/SKILL.md","workspace","skills","md",1748,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/humanizer/SKILL.md","workspace","skills","md",17782,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/linkedin/SKILL.md","workspace","skills","md",2362,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/llmrouter/SKILL.md","workspace","skills","md",9474,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/mission-control/SKILL.md","workspace","skills","md",6966,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/model-usage/SKILL.md","workspace","skills","md",2046,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/notion/SKILL.md","workspace","skills","md",5039,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/ontology/SKILL.md","workspace","skills","md",6703,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/proactive-agent/SKILL.md","workspace","skills","md",20883,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/security-sentinel-skill/SKILL.md","workspace","skills","md",27087,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/self-improving-agent/SKILL.md","workspace","skills","md",19704,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/sonoscli/SKILL.md","workspace","skills","md",940,"2026-03-02T15:01:48+00:00","system"
"SKILL.md","/Users/alexis/.openclaw/workspace/skills/tavily-search/SKILL.md","workspace","skills","md",1195,"2026-03-02T15:01:48+00:00","system"
